OrganismCode,CommonName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
AAURIT,moon jelly,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,aurita,1
ACL,Asian clam,yes,Mollusca,Bivalvia,Myodia,Sphaeriidae,Potamocorbula,amurensis,0
ALABIA,Aurelia labiata,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,labiata,1
AME,American eel,yes,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,0
AMS,American shad,yes,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,1
ARG,arrow goby,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Clevelandia,ios,1
BAS,bass unknown,,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,NA,1
BG,bay goby,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Lepidogobius,lepidus,1
BGS,bluegill,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,1
BKB,black bullhead,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,1
BKS,black crappie,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,1
BLC,blue catfish,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,furcatus,1
BMS,bigmouth sole,yes,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,stomata,1
BPF,bay pipefish,no,Chordata,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,leptorhynchus,1
BRB,brown bullhead,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,1
BRF,Brown Rockfish,,Chordata,Osteichthyes,Scopaeniformes,Scorpaenidae,Sebastes,auriculatus,1
BRFK,Bluefin Killifish,yes,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,goodei,1
