"Common.Name","Genus","Species","Family","Fish.Code","Symbol","TNS.Field","MWT.Species.Code","MWT.Field"
"American Shad","Alosa","sapidissima","Clupeidae",5,"AS","AMERSHAD",19,"AMERSHAD"
"Arrow Goby","Clevelandia","ios","Gobiidae",13,"AG","AROWGOBY",76,"AROWGOBY"
"Barred Surfperch","Amphistichus","argenteus","Embiotocidae",NA,NA,NA,48,"BRDSPRCH"
"Bat Ray","Myliobatis","californica","Myliobatididae",NA,NA,NA,1,"BATRAY"
"Bay Goby","Lepidogobius","lepidus","Gobiidae",59,"BG","BAYGOBY",74,"BAYGOBY"
"Bay Pipefish","Syngnathus","leptorhynchus","Syngnathidae",35,"BPF","BAYPIPE",71,"BAYPIPEF"
"Big Skate","Raja","binoculata","Rajidae",NA,NA,NA,2,"BIGSKATE"
"Bigscale Logperch","Percina","macrolepida","Percidae",44,"BLP","LOGPERCH",72,"BSCALELG"
"Black Bullhead","Ameiurus","melas","Ictaluridae",18,"BLB",NA,68,"BLKBULHD"
"Black Crappie","Pomoxis","nigromaculatus","Centrarchidae",41,"BC","BLKCRAP",6,"BLKCRAPP"
"Black Surfperch","Embiotoca","jacksoni","Embiotocidae",NA,NA,NA,49,"BLKPERCH"
"Blue Catfish","Ictalurus","furcatus","Ictaluridae",7105,NA,NA,NA,NA
"Bluegill Sunfish","Lepomis","macrochirus","Centrarchidae",38,"BGS","BLUEGILL",52,"BLUEGILL"
"Broadnose Sevengill Shark","Notorynchus","cepodianus","Hexanchidae",NA,NA,NA,56,"SEVNGSHK"
"Brown Bullhead","Ameiurus","nebulosus","Ictaluridae",54,"BRB","BRNBULLH",69,"BRNBULHD"
"Brown Rockfish","Sebastes","auriculatus","Sebastidae",96,"BRF",NA,NA,NA
"Brown Smoothhound","Mustelus","henlei","Triakidae",NA,NA,NA,59,"BRNSMHND"
"Calico Surfperch","Amphistichus","koelzi","Embiotocidae",NA,NA,NA,45,"CALSPRCH"
"California Halibut","Paralichthys","californicus","Paralichthyidae",NA,NA,NA,78,"CHALIBUT"
"California Skate","Raja","inornata","Rajidae",NA,NA,NA,60,"CALSKATE"
"California Tonguefish","Symphurus","atricauda","Cynoglossidae",76,"CTF",NA,77,"CATONGUE"
"Carp","Cyprinus","carpio","Cyprinidae",26,"CP","CARP",3,"CARP"
"Catfish (Unid)",NA,NA,"Ictaluridae",7,"ICT","CATFISH",NA,NA
"Centrarchids (Unid)",NA,NA,"Centrarchidae",36,"CNT","SUNFISHF",1002,NA
"Chameleon Goby","Tridentiger","trigonocephalus","Gobiidae",58,"CG","CAMLGOBY",92,"CAMLGOBY"
"Channel Catfish","Ictalurus","punctatus","Ictaluridae",9,"CCF","CHANLCAT",4,"CHANLCAT"
"Cheekspot Goby","Ilypnus","gilberti","Gobiidae",70,"CSG","CHEKGOBY",75,"CHKSGOBY"
"Chinook Salmon","Oncorhynchus","tshawytscha","Salmonidae",15,"CS","CHINSALM",9,"CHINSALM"
"Cyprinids (Unid)",NA,NA,"Cyprinidae",24,"CYP","MINNOWS",NA,NA
"Delta Smelt","Hypomesus","transpacificus","Osmeridae",3,"DS","DLTASMLT",24,"DLTASMLT"
"Diamond Turbot","Hypsopsetta","guttulata","Pleuronectidae",NA,NA,NA,82,"DIATURBT"
"Dwarf Surfperch","Micrometrus","minimus","Embiotocidae",NA,NA,NA,50,"DWFPERCH"
"English Sole","Pleuronectes","vetulus","Pleuronectidae",83,NA,NA,83,"ENGLSOLE"
"Fathead Minnow","Pimephales","promelas","Cyprinidae",73,"FHM",NA,1006,NA
"Flatfish (Unid)",NA,NA,NA,84,NA,NA,84,"FLATFISH"
"Gobies (Unid)",NA,NA,"Gobiidae",11,"GOB","GOBYFAML",1001,NA
"Golden Shiner","Notemigonus","crysoleucas","Cyprinidae",25,"GSH","GOLDSHNR",65,"GOLDSHNR"
"Goldfish","Carassius","auratus","Cyprinidae",27,"GF","GOLDFISH",64,"GOLDFISH"
"Green Sturgeon","Acipenser","medirostrus","Acipenseridae",23,"GST","GRNSTURG",36,"GRNSTURG"
"Green Sunfish","Lepomis","cyanellus","Centrarchidae",37,"GSF","GRNSUNF",53,"GRNSNFSH"
"Grey Smoothhound","Mustelus","californica","Triakidae",NA,NA,NA,67,"GRYSMHND"
"Hardhead","Mylopharodon","conocephalus","Cyprinidae",29,"HH","HARDHEAD",NA,NA
"Herring (Unid)",NA,NA,"Clupeidae",4,"CLU","SHADFMLY",NA,NA
"Hitch","Lavinia","exilicauda","Cyprinidae",57,"HIT","HITCH",61,"HITCH"
"Inland Silverside","Menidia","beryllina","Atherinopsidae",53,"ISS","INLDSLVR",12,"INLSLVER"
"Jacksmelt","Atherinopsis","californiensis","Atherinopsidae",34,"JS","JACKSMLT",8,"JACKSMLT"
"Lampreys (Unid)",NA,NA,"Petromyzontidae",60,"PET","LAMPREYF",1004,NA
"Largemouth Bass","Micropterus","salmoides","Centrarchidae",39,"LMB","LRGMBASS",55,"LMTHBASS"
"Leopard Shark","Triakis","semifasciata","Triakidae",NA,NA,NA,58,"LEOPSHRK"
"Lingcod","Ophiodon","elongatus","Hexagrammidae",NA,NA,NA,86,"LINGCOD"
"Longfin Smelt","Spirinchus","thaleichthys","Osmeridae",2,"LFS","LGFNSMLT",25,"LNGFSMLT"
"Longjaw Mudsucker","Gillichthys","mirabilis","Gobiidae",69,"LJM","LNGJAWMD",NA,NA
"Monkeyface Prickleback","Cebidichthys","violaceus","Stichaeidae",2775,NA,NA,NA,NA
"Mosquitofish","Gambusia","affinis","Poeciliidae",31,"GAM","MOSQUITO",70,"MOSQUITO"
"Night Smelt","Spirinchus","starski","Osmeridae",NA,NA,NA,26,"NGHTSMLT"
"Northern Anchovy","Engraulis","mordax","Engraulidae",14,"NA","NANCHOVY",13,"NANCHOVY"
"Pacific Electric Ray","Torpedo","californica","Torpedinidae",NA,NA,NA,91,"PACELRAY"
"Pacific Halibut","Hippoglossus","stenolepis","Pleuronectidea",NA,NA,NA,79,"PHALIBUT"
"Pacific Herring","Clupea","pallasi","Clupeidae",52,"PH","PHERRING",16,"PHERRING"
"Pacific Lamprey","Lampetra","tridentata","Petromyzontidae",61,"PL","PACLAMP",10,"PLAMPREY"
"Pacific Pompano","Peprilus","simillimus","Stromateidae",NA,NA,NA,15,"PBUTTER"
"Pacific Sanddab","Citharichthys","sordidus","Paralichthyidae",NA,NA,NA,17,"PSANDAB"
"Pacific Staghorn Sculpin","Leptocottus","armatus","Cottidae",48,"SSC","STAGHORN",30,"PSTGSCLP"
"Pacific Tomcod","Microgadus","proximus","Gadidae",NA,NA,NA,18,"PTOMCOD"
"Palaemon","Palaemon","macrodactylus","Caridae",NA,NA,NA,23,"PALAEMON"
"Penpoint Gunnel","Apodichthys","flavidus","Pholidae",2826,NA,NA,NA,NA
"Perches (Unid)",NA,NA,"Percidae",43,"PER",NA,NA,NA
"Pile perch","Rhacochilas","vacca","Embiotocidae",NA,NA,NA,47,"PILEPRCH"
"Plainfin Midshipman","Porichthys","notatus","Batrachoididae",50,"PFM","PLNMIDSH",14,"PMIDSHIP"
"Prickleback spp.",NA,NA,"Stichaeidae",2813,NA,NA,NA,NA
"Prickly Sculpin","Cottus","asper","Cottidae",49,"PSC","PRKSCULP",73,"PRCKSCUL"
"Rainwater Killifish","Lucania","parva","Fundulidae",65,"RK","RAINKILL",NA,NA
"Red Shiner","Notropis","lutrensis","Cyprinidae",72,"RSH",NA,NA,NA
"Redear Sunfish","Lepomis","microlophus","Centrarchidae",56,"RES",NA,NA,NA
"Redtail Surfperch","Amphistichus","rhodoterus","Embiotocidae",NA,NA,NA,46,"RTLSPRCH"
"River Lamprey","Lampetra","ayresi","Petromyzontidae",62,"RL","RIVRLAMP",11,"RLAMPREY"
"Rock Sole","Lepidopsetta","bilineata","Pleuronectidae",NA,NA,NA,85,"ROCKSOLE"
"Rubberlip Seaperch","Rhacochilus","toxotes","Embiotocidae",NA,NA,NA,44,"RUBLPRCH"
"Sacramento Blackfish","Orthodon","microlepidotus","Cyprinidae",71,"SBF",NA,62,"SACBLAKF"
"Sacramento Perch","Archoplites","interruptus","Centrarchidae",42,"SP","SACPERCH",51,"SACPERCH"
"Sacramento Pikeminnow","Ptychocheilus","grandis","Cyprinidae",30,"SQ","SACSQUAW",63,"SACSQUAW"
"Sacramento Sucker","Catostomus","occidentalis","Catostomidae",64,"SUC","SACSUCKR",66,"SACSUCKR"
"Saddleback Gunnel","Pholis","ornata","Pholidae",2829,NA,NA,NA,NA
"Sand Sole","Psettichthys","melanostictus","Pleuronectidae",NA,NA,NA,81,"SANDSOLE"
"Sculpins (Unid)",NA,NA,"Cottidae",63,"COT","SCULPINF",1003,NA
"Shimofuri Goby","Tridentiger","bifasciatus","Gobiidae",66,"SG","SHIMGOBY",95,"SHIMGOBY"
"Shiner Perch","Cymatogaster","aggregata","Embiotocidae",47,"SHP","SHNRPRCH",21,"SHNRPRCH"
"Shokihaze Goby","Tridentiger","barbatus","Gobiidae",74,"SHO",NA,NA,NA
"Silversides (Unid)",NA,NA,"Atherinopsidae",32,"ATH","SLVESIDF",NA,NA
"Smallmouth Bass","Micropterus","dolomieu","Centrarchidae",68,"SMB","SMLMBASS",94,"SMTHBASS"
"Smelt (Unid)",NA,NA,"Osmeridae",1,"OSM","SMELT",88,"SMLTFMLY"
"Speckled Sanddab","Citharichthys","stigmaeus","Paralichthyidae",80,NA,NA,80,"SPKSANDB"
"Spiny Dogfish","Squalus","acantias","Squalidae",NA,NA,NA,57,"SPINYDOG"
"Splittail","Pogonichthys","macrolepidotus","Cyprinidae",28,"ST","SPLITAIL",29,"SPLITAIL"
"Spotfin Surfperch","Hyperprosopon","anale","Embiotocidae",NA,NA,NA,89,"SPTFPRCH"
"Spotted Bass","Micropterus","punctulatus","Centrarchidae",77,"SPB",NA,NA,NA
"Starry Flounder","Platichthys","stellatus","Pleuronectidae",19,"STF","STARYFLD",31,"STRFLNDR"
"Steelhead","Oncorhynchus","mykiss","Salmonidae",55,"STH",NA,32,"STEELHED"
"Striped Bass","Morone","saxatilis","Moronidae",0,"SB0","STPBASS0",33,"STPBASS0"
"Striped Bass Adult","Morone","saxatilis","Moronidae",NA,"SB",NA,34,"STPBASS1"
"Striped Bass Adult2","Morone","saxatilis","Moronidae",NA,NA,NA,35,"STPBASS2"
